variant,context_id,preference_name,preference_kind,w_motion,w_stability,w_energy,selected_beta_name,shadow_score,best_second_margin,frozen_beta_name,changed_from_frozen,frozen_oracle_score,shadow_beta_frozen_score,frozen_score_sacrifice
baseline,rough_seed_15,wm080_ws000_we020,grid,0.8,0.0,0.2,lm020_ls060_le020,0.05259529022903838,0.018983206562385037,lm020_ls060_le020,0,0.05259529022903838,0.05259529022903838,0.0
baseline,rough_seed_15,wm060_ws040_we000,grid,0.6,0.4,0.0,lm060_ls040_le000,0.13357670966840973,0.02484055363054058,lm060_ls040_le000,0,0.13357670966840973,0.13357670966840973,0.0
baseline,rough_seed_15,wm060_ws020_we020,grid,0.6,0.2,0.2,lm060_ls040_le000,0.0989941531530156,0.0040067992148206805,lm060_ls040_le000,0,0.0989941531530156,0.0989941531530156,0.0
baseline,rough_seed_15,wm060_ws000_we040,grid,0.6,0.0,0.4,lm000_ls080_le020,0.10375638555318287,0.000956413457877836,lm000_ls080_le020,0,0.10375638555318287,0.10375638555318287,0.0
baseline,rough_seed_15,wm040_ws060_we000,grid,0.4,0.6,0.0,lm060_ls040_le000,0.19963632702685763,0.03739854674483986,lm060_ls040_le000,0,0.19963632702685763,0.19963632702685763,0.0
baseline,rough_seed_15,wm040_ws040_we020,grid,0.4,0.4,0.2,lm060_ls040_le000,0.13425019216796522,0.024935722007768557,lm060_ls040_le000,0,0.13425019216796522,0.13425019216796522,0.0
baseline,rough_seed_15,wm040_ws020_we040,grid,0.4,0.2,0.4,lm000_ls080_le020,0.11883651661357011,0.07642403811071408,lm000_ls080_le020,0,0.11883651661357011,0.11883651661357011,0.0
baseline,rough_seed_15,wm040_ws000_we060,grid,0.4,0.0,0.6,lm000_ls080_le020,0.06917092370212191,0.08765938409096108,lm000_ls080_le020,0,0.06917092370212191,0.06917092370212191,0.0
baseline,rough_seed_15,wm020_ws080_we000,grid,0.2,0.8,0.0,lm000_ls060_le040,0.16906897526761827,0.009731307235977232,lm000_ls060_le040,0,0.16906897526761827,0.16906897526761827,0.0
baseline,rough_seed_15,wm020_ws060_we020,grid,0.2,0.6,0.2,lm020_ls040_le040,0.13665082942840379,0.015322217745817934,lm020_ls040_le040,0,0.13665082942840379,0.13665082942840379,0.0
baseline,rough_seed_15,wm020_ws040_we040,grid,0.2,0.4,0.4,lm060_ls040_le000,0.19653083135451732,0.0071280200580718656,lm060_ls040_le000,0,0.19653083135451732,0.19653083135451732,0.0
baseline,rough_seed_15,wm020_ws020_we060,grid,0.2,0.2,0.6,lm000_ls080_le020,0.11849408629821308,0.07962807546251756,lm000_ls080_le020,0,0.11849408629821308,0.11849408629821308,0.0
baseline,rough_seed_15,wm020_ws000_we080,grid,0.2,0.0,0.8,lm000_ls080_le020,0.034585461851060956,0.17436235472404438,lm000_ls080_le020,0,0.034585461851060956,0.034585461851060956,0.0
baseline,rough_seed_15,wm000_ws100_we000,grid,0.0,1.0,0.0,lm000_ls040_le060,0.0,0.0956086904385822,lm000_ls040_le060,0,0.0,0.0,0.0
baseline,rough_seed_15,wm000_ws080_we020,grid,0.0,0.8,0.2,lm000_ls040_le060,0.0837719963357539,0.09479355334244456,lm000_ls040_le060,0,0.0837719963357539,0.0837719963357539,0.0
