descriptor,variant,test_context,nearest_context,preference_name,transferred_beta,shadow_oracle_beta,exact,shadow_oracle_score,transferred_score,score_excess
v1,baseline,rough_seed_5,rough_seed_17,wm020_ws080_we000,lm100_ls000_le000,lm020_ls040_le040,0,0.18563973238387022,0.5687287262121732,0.38308899382830297
v1,baseline,rough_seed_5,rough_seed_17,wm020_ws060_we020,lm100_ls000_le000,lm020_ls040_le040,0,0.1868755992148271,0.427078550922333,0.24020295170750589
v1,baseline,rough_seed_5,rough_seed_17,wm020_ws040_we040,lm100_ls000_le000,lm000_ls040_le060,0,0.20388455696645139,0.285428375632493,0.08154381866604163
v1,baseline,rough_seed_5,rough_seed_17,wm020_ws020_we060,lm100_ls000_le000,lm060_ls020_le020,0,0.12237894420640703,0.1507735258840107,0.028394581677603656
v1,baseline,rough_seed_5,rough_seed_17,wm020_ws000_we080,lm020_ls060_le020,lm020_ls060_le020,1,0.031655430300672395,0.031655430300672395,0.0
v1,baseline,rough_seed_5,rough_seed_17,wm000_ws100_we000,lm060_ls000_le040,lm000_ls040_le060,0,0.0,0.11919280869751918,0.11919280869751918
v1,baseline,rough_seed_5,rough_seed_17,wm000_ws080_we020,lm100_ls000_le000,lm000_ls040_le060,0,0.0951701268057946,0.5690628775515227,0.4738927507457281
v1,baseline,rough_seed_5,rough_seed_17,wm000_ws060_we040,lm100_ls000_le000,lm000_ls040_le060,0,0.1903402536115892,0.4274127022616826,0.2370724486500934
v1,baseline,rough_seed_5,rough_seed_17,wm000_ws040_we060,lm100_ls000_le000,lm060_ls020_le020,0,0.2429586950778415,0.2857625269718426,0.04280383189400111
v1,baseline,rough_seed_5,rough_seed_17,wm000_ws020_we080,lm020_ls060_le020,lm060_ls020_le020,0,0.12205687610135389,0.14053553790523227,0.018478661803878374
v1,baseline,rough_seed_5,rough_seed_17,wm000_ws000_we100,lm020_ls060_le020,lm020_ls060_le020,1,0.0,0.0,0.0
v1,baseline,rough_seed_5,rough_seed_17,balanced,lm100_ls000_le000,lm060_ls020_le020,0,0.2031948689274342,0.2379888829763132,0.034794014048878996
v1,baseline,rough_seed_5,rough_seed_17,motion,lm100_ls000_le000,lm100_ls000_le000,1,0.10753027817181889,0.10753027817181889,0.0
