context_index,context_id,group,terrain,seed,beta_name,beta_motion,beta_stability,beta_energy,feasible,strict_feasible,pareto_nondominated,good_candidate,cost_motion,cost_stability,cost_energy,motion_rank,stability_rank,energy_rank,episode_energy_abs_j,decision_time_s,roll_rms_rad,pitch_rms_rad,mean_applied_vx_mps
20,low_friction_train:low_friction:27202,low_friction_train,low_friction,27202,stability,0.15,0.7,0.15,True,True,True,True,0.20969770187952075,0.010179661508048169,0.5699717617738637,4,3,1,174.33089163256227,7.1640000000000015,0.005129082491455762,0.026414068222837105,0.2146709159229483
20,low_friction_train:low_friction:27202,low_friction_train,low_friction,27202,energy,0.15,0.15,0.7,True,True,True,True,0.20806741248731359,0.009893112186897451,0.5746090441972828,3,2,2,175.74924537189614,7.134000000000001,0.005158981877127278,0.026039647005058935,0.21591399197067537
21,low_friction_train:low_friction:27203,low_friction_train,low_friction,27203,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.2051660042955439,0.010489815208202413,0.5783516337856364,2,4,3,171.8398365742218,6.9979999999999976,0.0055606137204493285,0.02681344063275877,0.21888600004946485
21,low_friction_train:low_friction:27203,low_friction_train,low_friction,27203,motion,0.7,0.15,0.15,True,True,True,True,0.2008279687493115,0.009906798874084879,0.5848622450851167,1,1,4,173.77426939388536,6.934000000000001,0.005338937331498553,0.026057653068427167,0.22307501084664294
21,low_friction_train:low_friction:27203,low_friction_train,low_friction,27203,stability,0.15,0.7,0.15,True,True,True,True,0.20959891024378532,0.010130367793463766,0.5743670350505682,4,3,1,175.67522473936748,7.161999999999999,0.005182397186865122,0.026350037516202407,0.2146773839848382
21,low_friction_train:low_friction:27203,low_friction_train,low_friction,27203,energy,0.15,0.15,0.7,True,True,True,True,0.20792873880643442,0.009909754532117909,0.5765532120546015,3,2,2,176.34388626251672,7.142000000000001,0.005131620741783217,0.026061539942875134,0.2159079937849726
22,low_friction_train:low_friction:27204,low_friction_train,low_friction,27204,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.20460921884859476,0.009895681882400071,0.5826853726388169,2,3,3,173.12747705586338,6.9700000000000015,0.005533167056586305,0.026043028695088104,0.21888643200783173
22,low_friction_train:low_friction:27204,low_friction_train,low_friction,27204,motion,0.7,0.15,0.15,True,True,True,True,0.2008462161885782,0.0093277398914946,0.5864152938493978,1,1,4,174.23571124042954,6.936000000000001,0.005255637015483492,0.025284643728461984,0.22306329954196427
22,low_friction_train:low_friction:27204,low_friction_train,low_friction,27204,stability,0.15,0.7,0.15,True,True,True,True,0.20987835998240773,0.010126642721554797,0.5694982056757629,4,4,1,174.18605032224372,7.152,0.0050077983805796086,0.026345192134168083,0.21467643942151754
22,low_friction_train:low_friction:27204,low_friction_train,low_friction,27204,energy,0.15,0.15,0.7,True,True,True,True,0.20863619770286565,0.00979894001835834,0.5769466556529914,3,2,2,176.4642244580458,7.14,0.005013527936257823,0.025915415378921187,0.2159091431753976
23,low_friction_train:low_friction:27205,low_friction_train,low_friction,27205,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.2049885757666255,0.009825794702007604,0.5816303011004338,2,2,3,172.8139942019408,6.954,0.005229906170655224,0.025950902599332748,0.21890421246781072
23,low_friction_train:low_friction:27205,low_friction_train,low_friction,27205,motion,0.7,0.15,0.15,True,True,True,True,0.20069524383188408,0.009539039567098046,0.5882320089804332,1,1,4,174.77549363747337,6.974000000000001,0.005553530452691546,0.025569424421410164,0.22304771787980024
23,low_friction_train:low_friction:27205,low_friction_train,low_friction,27205,stability,0.15,0.7,0.15,True,True,False,False,0.2093763941859333,0.010240765618385377,0.576084156998471,4,4,2,176.20042163559287,7.1739999999999995,0.00524660923152808,0.026493225414906563,0.21467307171651293
23,low_friction_train:low_friction:27205,low_friction_train,low_friction,27205,energy,0.15,0.15,0.7,True,True,True,True,0.20830610485568224,0.009886845242575397,0.5708933707715426,3,3,1,174.61277387494204,7.157999999999999,0.005184548771637182,0.0260313981130002,0.21588590841208188
24,low_friction_train:low_friction:27206,low_friction_train,low_friction,27206,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.20458853532104512,0.009697457667068744,0.5842614959433102,2,2,3,173.5957748097612,6.964000000000002,0.005566012514647562,0.02578087042048931,0.21889013779513977
24,low_friction_train:low_friction:27206,low_friction_train,low_friction,27206,motion,0.7,0.15,0.15,True,True,True,True,0.20032333188858428,0.009254341602301147,0.5846346376988798,1,1,4,173.70664268762363,6.916000000000002,0.0052415825155181575,0.025184967131977237,0.22307464291944226
24,low_friction_train:low_friction:27206,low_friction_train,low_friction,27206,stability,0.15,0.7,0.15,True,True,True,True,0.2094738077697243,0.00984687640843817,0.5699713817506471,4,3,2,174.33077539910897,7.128000000000001,0.00504930707651001,0.025978727262197486,0.21469196104577606
24,low_friction_train:low_friction:27206,low_friction_train,low_friction,27206,energy,0.15,0.15,0.7,True,True,True,True,0.20846591161657413,0.010038294736575568,0.5683442547981582,3,4,1,173.83310426616725,7.1499999999999995,0.004955593653224928,0.026230018568087037,0.2158886942906039
25,low_friction_train:low_friction:27207,low_friction_train,low_friction,27207,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.20456303978842474,0.009755941893743316,0.5774195104217932,2,2,3,171.56288408173657,6.9380000000000015,0.005223575002753544,0.025858494007043327,0.21891322648700548
