terrain,mission,held_context_id,held_signature_count,shared_log_predictive,uniform_log_predictive,delta_log_predictive
flat,fast,flat_train:flat:27104,3,-0.9613462507536626,-0.922911613450195,-0.038434637303467634
flat,fast,flat_train:flat:27105,6,-1.0441838940590662,-1.3700873470644315,0.3259034530053653
flat,fast,flat_train:flat:27106,3,-0.43628367662766276,-0.8900403118436664,0.4537566352160036
flat,fast,flat_train:flat:27107,6,-0.4261032067918095,-0.8529916104368102,0.42688840364500064
flat,fast,flat_train:flat:27108,6,-0.4446413633170441,-0.9917359216268536,0.5470945583098095
flat,fast,flat_train:flat:27109,3,-0.3634674550566797,-1.0437032114513018,0.6802357563946222
flat,fast,flat_train:flat:27110,6,-1.0985624889530337,-1.3879574082724515,0.28939491931941785
flat,fast,flat_train:flat:27111,6,-0.4527875045821359,-1.0753022957280685,0.6225147911459326
flat,fast,flat_train:flat:27112,6,-1.1867086521686194,-1.4198146833449528,0.23310603117633333
flat,fast,flat_train:flat:27113,6,-0.9869676845220265,-0.9418988226907866,-0.045068861831239926
flat,fast,flat_train:flat:27114,6,-0.5278236242423522,-1.1004840736990553,0.5726604494567031
flat,fast,flat_train:flat:27115,6,-0.9779237129621089,-1.1548484191347035,0.1769247061725946
flat,fast,flat_train:flat:27116,6,-1.12837715292368,-1.3478309319197106,0.2194537789960307
flat,fast,flat_train:flat:27117,6,-0.9759372057879746,-1.2049648358306797,0.2290276300427051
flat,stable,flat_train:flat:27100,6,-0.20276356820987798,-1.0210300258437053,0.8182664576338273
flat,stable,flat_train:flat:27101,3,-0.1214321899066455,-0.6886013835026876,0.5671691935960421
flat,stable,flat_train:flat:27102,6,-0.3563997778406174,-0.9490964351970619,0.5926966573564445
flat,stable,flat_train:flat:27103,6,-0.20611300030530696,-1.0877846207886133,0.8816716204833063
flat,stable,flat_train:flat:27104,3,-0.18797572091216205,-1.090848926351175,0.9028732054390128
flat,stable,flat_train:flat:27105,6,-0.32153048300579695,-0.8665608378181422,0.5450303548123452
flat,stable,flat_train:flat:27106,6,-0.3750251335327035,-1.097434457906618,0.7224093243739145
flat,stable,flat_train:flat:27107,6,-0.3010391284245147,-0.8529916104368102,0.5519524820122954
flat,stable,flat_train:flat:27108,6,-0.2047886855899388,-0.9917359216268536,0.7869472360369149
flat,stable,flat_train:flat:27109,3,-0.12510279983724595,-1.0437032114513018,0.9186004116140559
flat,stable,flat_train:flat:27110,6,-0.17399864504071694,-1.034570946334706,0.860572301293989
flat,stable,flat_train:flat:27111,6,-0.20289684989662607,-1.0753022957280685,0.8724054458314424
flat,stable,flat_train:flat:27112,6,-0.1573619057825355,-0.8077515815823301,0.6503896757997946
flat,stable,flat_train:flat:27113,6,-1.4543523224287478,-0.9418988226907866,-0.5124534997379612
flat,stable,flat_train:flat:27114,6,-0.3573207534462832,-1.1004840736990553,0.7431633202527721
flat,stable,flat_train:flat:27115,6,-0.20269258752831387,-1.0333942979655986,0.8307017104372847
flat,stable,flat_train:flat:27116,6,-0.28023213603118063,-0.8515656552725531,0.5713335192413724
flat,stable,flat_train:flat:27117,6,-0.3252505959907648,-0.8934996065722621,0.5682490105814973
low_friction,efficient,low_friction_train:low_friction:27200,3,-0.10647090958959045,-0.7501542264958289,0.6436833169062384
low_friction,efficient,low_friction_train:low_friction:27201,6,-0.2770921666417315,-1.0051385488634723,0.7280463822217409
low_friction,efficient,low_friction_train:low_friction:27202,5,-0.10213843464065135,-0.6290832989469907,0.5269448643063394
low_friction,efficient,low_friction_train:low_friction:27203,5,-0.22109369897275338,-0.8932572821858088,0.6721635832130555
low_friction,efficient,low_friction_train:low_friction:27204,4,-0.06732908046080732,-0.7180936946076975,0.6507646141468901
low_friction,efficient,low_friction_train:low_friction:27205,2,-0.022562567766632124,-0.525443377592516,0.5028808098258839
