variant,context_id,preference_name,preference_kind,frozen_beta_name,shadow_beta_name,frozen_score_sacrifice,frozen_motion,shadow_motion,delta_motion,abs_delta_motion,abs_delta_motion_over_train_iqr,frozen_stability,shadow_stability,delta_stability,abs_delta_stability,abs_delta_stability_over_train_iqr,frozen_energy,shadow_energy,delta_energy,abs_delta_energy,abs_delta_energy_over_train_iqr,normalized_physical_l1_mean,normalized_physical_linf
q25,rough_seed_4,wm060_ws020_we020,grid,lm020_ls080_le000,lm000_ls100_le000,0.5022149095676165,4.6256119816452355,4.626589030567893,0.0009770489226577084,0.0009770489226577084,0.006058729266249262,0.22224542110427503,0.2216246169651689,-0.0006208041391061181,0.0006208041391061181,0.005603796248978613,121.31433315768827,121.26501560053696,-0.04931755715131203,0.04931755715131203,0.00396038638402538,0.005207637299751085,0.006058729266249262
q25,rough_seed_4,wm060_ws000_we040,grid,lm020_ls080_le000,lm000_ls100_le000,0.5441139469724021,4.6256119816452355,4.626589030567893,0.0009770489226577084,0.0009770489226577084,0.006058729266249262,0.22224542110427503,0.2216246169651689,-0.0006208041391061181,0.0006208041391061181,0.005603796248978613,121.31433315768827,121.26501560053696,-0.04931755715131203,0.04931755715131203,0.00396038638402538,0.005207637299751085,0.006058729266249262
q25,rough_seed_4,wm040_ws060_we000,grid,lm020_ls080_le000,lm000_ls100_le000,0.09439740512331402,4.6256119816452355,4.626589030567893,0.0009770489226577084,0.0009770489226577084,0.006058729266249262,0.22224542110427503,0.2216246169651689,-0.0006208041391061181,0.0006208041391061181,0.005603796248978613,121.31433315768827,121.26501560053696,-0.04931755715131203,0.04931755715131203,0.00396038638402538,0.005207637299751085,0.006058729266249262
q25,rough_seed_4,wm040_ws040_we020,grid,lm020_ls080_le000,lm000_ls100_le000,0.19721378657532976,4.6256119816452355,4.626589030567893,0.0009770489226577084,0.0009770489226577084,0.006058729266249262,0.22224542110427503,0.2216246169651689,-0.0006208041391061181,0.0006208041391061181,0.005603796248978613,121.31433315768827,121.26501560053696,-0.04931755715131203,0.04931755715131203,0.00396038638402538,0.005207637299751085,0.006058729266249262
q25,rough_seed_4,wm040_ws020_we040,grid,lm020_ls080_le000,lm000_ls100_le000,0.30003016802734556,4.6256119816452355,4.626589030567893,0.0009770489226577084,0.0009770489226577084,0.006058729266249262,0.22224542110427503,0.2216246169651689,-0.0006208041391061181,0.0006208041391061181,0.005603796248978613,121.31433315768827,121.26501560053696,-0.04931755715131203,0.04931755715131203,0.00396038638402538,0.005207637299751085,0.006058729266249262
q25,rough_seed_4,wm040_ws000_we060,grid,lm060_ls040_le000,lm000_ls100_le000,0.32684378922041457,4.625746297597826,4.626589030567893,0.000842732970067317,0.000842732970067317,0.005225829322334532,0.22282333007507935,0.2216246169651689,-0.001198713109910432,0.001198713109910432,0.010820391820501905,121.30480247817712,121.26501560053696,-0.03978687764016797,0.03978687764016797,0.0031950367692697664,0.006413752637368735,0.010820391820501905
q25,rough_seed_4,wm020_ws020_we060,grid,lm020_ls080_le000,lm000_ls100_le000,0.0978454264870745,4.6256119816452355,4.626589030567893,0.0009770489226577084,0.0009770489226577084,0.006058729266249262,0.22224542110427503,0.2216246169651689,-0.0006208041391061181,0.0006208041391061181,0.005603796248978613,121.31433315768827,121.26501560053696,-0.04931755715131203,0.04931755715131203,0.00396038638402538,0.005207637299751085,0.006058729266249262
q25,rough_seed_4,wm020_ws000_we080,grid,lm060_ls040_le000,lm000_ls100_le000,0.10234880565295623,4.625746297597826,4.626589030567893,0.000842732970067317,0.000842732970067317,0.005225829322334532,0.22282333007507935,0.2216246169651689,-0.001198713109910432,0.001198713109910432,0.010820391820501905,121.30480247817712,121.26501560053696,-0.03978687764016797,0.03978687764016797,0.0031950367692697664,0.006413752637368735,0.010820391820501905
q25,rough_seed_4,balanced,canonical,lm020_ls080_le000,lm000_ls100_le000,0.1640909998792447,4.6256119816452355,4.626589030567893,0.0009770489226577084,0.0009770489226577084,0.006058729266249262,0.22224542110427503,0.2216246169651689,-0.0006208041391061181,0.0006208041391061181,0.005603796248978613,121.31433315768827,121.26501560053696,-0.04931755715131203,0.04931755715131203,0.00396038638402538,0.005207637299751085,0.006058729266249262
q25,rough_seed_4,motion,canonical,lm020_ls080_le000,lm000_ls100_le000,0.6290113757007559,4.6256119816452355,4.626589030567893,0.0009770489226577084,0.0009770489226577084,0.006058729266249262,0.22224542110427503,0.2216246169651689,-0.0006208041391061181,0.0006208041391061181,0.005603796248978613,121.31433315768827,121.26501560053696,-0.04931755715131203,0.04931755715131203,0.00396038638402538,0.005207637299751085,0.006058729266249262
