decision_index,context_id,group,terrain,seed,mission,primary_metric,selected_beta_name,feasible_choice_count,preference_pair_count,support_class,max_margin_rho,beta_hat_motion,beta_hat_stability,beta_hat_energy,min_pair_margin_at_beta_hat,max_pair_margin_at_beta_hat,source_beta_consistent,source_beta_min_margin
168,flat_train:flat:27105,flat_train,flat,27105,stable,cost_stability,motion,3,2,strict,0.004615106607244429,1.0,-0.0,0.0,0.004615106607244429,0.008113363358562803,1,0.0025863936197997256
170,flat_train:flat:27105,flat_train,flat,27105,stable,cost_stability,stability,2,1,strict,0.005668155487586923,0.0,-0.0,1.0,0.005668155487586923,0.005668155487586923,1,0.0005499606648091336
171,flat_train:flat:27105,flat_train,flat,27105,stable,cost_stability,balanced,3,2,strict,0.0034982567513183738,1.0,-0.0,0.0,0.0034982567513183738,0.0055160296132057696,0,-0.0015555241693159553
172,flat_train:flat:27105,flat_train,flat,27105,stable,cost_stability,motion,4,3,strict,0.004615106607244429,1.0,-0.0,0.0,0.004615106607244429,0.010131136220450199,1,0.0025863936197997256
177,flat_train:flat:27105,flat_train,flat,27105,efficient,cost_energy,balanced,2,1,strict,0.0044839931022937485,0.0,0.0,1.0,0.0044839931022937485,0.0044839931022937485,0,-0.00010685552403397777
178,flat_train:flat:27105,flat_train,flat,27105,efficient,cost_energy,balanced,2,1,strict,0.0044839931022937485,0.0,0.0,1.0,0.0044839931022937485,0.0044839931022937485,0,-0.00010685552403397777
179,flat_train:flat:27105,flat_train,flat,27105,efficient,cost_energy,balanced,2,1,strict,0.0044839931022937485,0.0,0.0,1.0,0.0044839931022937485,0.0044839931022937485,0,-0.00010685552403397777
181,flat_train:flat:27105,flat_train,flat,27105,efficient,cost_energy,balanced,2,1,strict,0.0044839931022937485,0.0,0.0,1.0,0.0044839931022937485,0.0044839931022937485,0,-0.00010685552403397777
182,flat_train:flat:27105,flat_train,flat,27105,efficient,cost_energy,balanced,2,1,strict,0.0044839931022937485,0.0,0.0,1.0,0.0044839931022937485,0.0044839931022937485,0,-0.00010685552403397777
183,flat_train:flat:27105,flat_train,flat,27105,efficient,cost_energy,energy,3,2,strict,0.004651081073433261,0.0,0.0,1.0,0.004651081073433261,0.00913507417572701,1,0.0027100080860925
185,flat_train:flat:27105,flat_train,flat,27105,efficient,cost_energy,balanced,2,1,strict,0.0044839931022937485,0.0,0.0,1.0,0.0044839931022937485,0.0044839931022937485,0,-0.00010685552403397777
186,flat_train:flat:27105,flat_train,flat,27105,efficient,cost_energy,stability,3,2,strict,0.010319236561020184,0.0,0.0,1.0,0.010319236561020184,0.014803229663313933,1,0.0004725527615170999
187,flat_train:flat:27105,flat_train,flat,27105,efficient,cost_energy,stability,4,3,strict,0.005668155487586923,0.0,-0.0,1.0,0.005668155487586923,0.014803229663313933,1,0.0004725527615170999
192,flat_train:flat:27106,flat_train,flat,27106,fast,decision_time_s,balanced,2,1,strict,0.005435423119468291,1.0,-0.0,0.0,0.005435423119468291,0.005435423119468291,0,-0.0008378323054023403
194,flat_train:flat:27106,flat_train,flat,27106,fast,decision_time_s,energy,2,1,strict,0.0019189323577745998,1.0,0.0,0.0,0.0019189323577745998,0.0019189323577745998,0,-0.0001779829685549317
195,flat_train:flat:27106,flat_train,flat,27106,fast,decision_time_s,balanced,3,2,strict,0.0035164907616936913,1.0,-0.0,0.0,0.0035164907616936913,0.005435423119468291,0,-0.0012462640558650387
197,flat_train:flat:27106,flat_train,flat,27106,stable,cost_stability,motion,2,1,strict,0.0042799461402785455,1.0,-0.0,0.0,0.0042799461402785455,0.0042799461402785455,1,0.0019434852410521314
199,flat_train:flat:27106,flat_train,flat,27106,stable,cost_stability,motion,2,1,strict,0.0042799461402785455,1.0,-0.0,0.0,0.0042799461402785455,0.0042799461402785455,1,0.0019434852410521314
201,flat_train:flat:27106,flat_train,flat,27106,stable,cost_stability,balanced,2,1,strict,0.0035164907616936913,1.0,-0.0,0.0,0.0035164907616936913,0.0035164907616936913,0,-0.0012462640558650385
202,flat_train:flat:27106,flat_train,flat,27106,stable,cost_stability,motion,3,2,strict,0.0042799461402785455,1.0,-0.0,0.0,0.0042799461402785455,0.007796436901972237,1,0.0019434852410521314
204,flat_train:flat:27106,flat_train,flat,27106,stable,cost_stability,stability,2,1,strict,0.0006577768295693565,0.0,-0.0,1.0,0.0006577768295693565,0.0006577768295693565,0,-0.00016407113545878306
205,flat_train:flat:27106,flat_train,flat,27106,stable,cost_stability,balanced,3,2,strict,0.0035164907616936913,1.0,-0.0,0.0,0.0035164907616936913,0.005435423119468291,0,-0.0012462640558650387
206,flat_train:flat:27106,flat_train,flat,27106,stable,cost_stability,motion,4,3,strict,0.0042799461402785455,1.0,-0.0,0.0,0.0042799461402785455,0.009715369259746837,1,0.0019434852410521314
208,flat_train:flat:27106,flat_train,flat,27106,efficient,cost_energy,balanced,2,1,strict,0.007289258868394266,0.0,0.0,1.0,0.007289258868394266,0.007289258868394266,1,0.0009121891913357076
209,flat_train:flat:27106,flat_train,flat,27106,efficient,cost_energy,balanced,2,1,strict,0.007289258868394266,0.0,0.0,1.0,0.007289258868394266,0.007289258868394266,1,0.0009121891913357076
210,flat_train:flat:27106,flat_train,flat,27106,efficient,cost_energy,balanced,2,1,strict,0.007289258868394266,0.0,0.0,1.0,0.007289258868394266,0.007289258868394266,1,0.0009121891913357076
