context_id,beta_name,beta_motion,beta_stability,beta_energy,lambda_motion,lambda_stability,lambda_energy,terrain,seed,J_motion_s_per_m,J_stability_attitude,J_stability_slip,J_stability,J_stability_dominant,J_energy_j_per_m,source_stage
rough_seed_0,lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,rough_perlin,0,4.506357293897271,0.3649332374359781,0.08543434102044697,0.3649332374359781,attitude,130.1933285461412,T5.5c_frozen
rough_seed_0,lm060_ls020_le020,0.48,0.26,0.26,0.6,0.2,0.2,rough_perlin,0,4.517093935296427,0.36559428492116336,0.08169621466220855,0.36559428492116336,attitude,131.23376851768012,T5.5c_frozen
rough_seed_0,lm060_ls000_le040,0.48,0.15,0.37,0.6,0.0,0.4,rough_perlin,0,4.551959973396864,0.3625877909399292,0.09209765127850307,0.3625877909399292,attitude,134.1809713923441,T5.5c_frozen
rough_seed_0,lm040_ls060_le000,0.37,0.48,0.15,0.4,0.6,0.0,rough_perlin,0,4.501344394937334,0.3691890233406416,0.08955765047137107,0.3691890233406416,attitude,134.87484678769187,T5.5c_frozen
rough_seed_0,lm040_ls040_le020,0.37,0.37,0.26,0.4,0.4,0.2,rough_perlin,0,4.527436824724655,0.3672243213619896,0.0864760989671062,0.3672243213619896,attitude,132.73498810556973,T5.5c_frozen
rough_seed_0,lm040_ls020_le040,0.36999999999999994,0.26,0.37,0.4,0.2,0.4,rough_perlin,0,4.55346843100071,0.3625565826972535,0.09170810685788158,0.3625565826972535,attitude,134.1604802193583,T5.5c_frozen
rough_seed_0,lm040_ls000_le060,0.37,0.15,0.48,0.4,0.0,0.6,rough_perlin,0,4.5799688021865474,0.36340535731610785,0.09420955882354237,0.36340535731610785,attitude,133.4164335015104,T5.5c_frozen
rough_seed_0,lm020_ls080_le000,0.26,0.59,0.15,0.2,0.8,0.0,rough_perlin,0,4.505272292620048,0.3669617559711387,0.08663694421016029,0.3669617559711387,attitude,132.40644736825115,T5.5c_frozen
rough_seed_0,lm020_ls060_le020,0.26,0.48,0.26,0.2,0.6,0.2,rough_perlin,0,4.5348930346210405,0.365533925940673,0.09077895741382964,0.365533925940673,attitude,130.5931603689471,T5.5c_frozen
rough_seed_0,lm020_ls040_le040,0.26,0.36999999999999994,0.37,0.2,0.4,0.4,rough_perlin,0,4.556006362064164,0.36221011053066954,0.09041444778885178,0.36221011053066954,attitude,134.31087483449625,T5.5c_frozen
rough_seed_0,lm020_ls020_le060,0.26,0.26,0.48,0.2,0.2,0.6,rough_perlin,0,4.5808621256911195,0.36358677207646933,0.09598342732191435,0.36358677207646933,attitude,133.44110974944573,T5.5c_frozen
rough_seed_0,lm020_ls000_le080,0.26,0.15,0.59,0.2,0.0,0.8,rough_perlin,0,4.5869505896217175,0.3639528344689003,0.09837962962964235,0.3639528344689003,attitude,134.1359634612316,T5.5c_frozen
rough_seed_0,lm000_ls100_le000,0.15,0.7,0.15,0.0,1.0,0.0,rough_perlin,0,4.508881972157758,0.36795711775268414,0.08659992763238697,0.36795711775268414,attitude,132.92345987434524,T5.5c_frozen
rough_seed_0,lm000_ls080_le020,0.15,0.59,0.26,0.0,0.8,0.2,rough_perlin,0,4.536798425043801,0.3654347932734181,0.09077878643097619,0.3654347932734181,attitude,130.80855811665486,T5.5c_frozen
rough_seed_0,lm000_ls060_le040,0.15,0.48,0.37,0.0,0.6,0.4,rough_perlin,0,4.556074348667634,0.3623027647386958,0.08855790324444045,0.3623027647386958,attitude,132.90448796450124,T5.5c_frozen
rough_seed_0,lm000_ls040_le060,0.15,0.37,0.48,0.0,0.4,0.6,rough_perlin,0,4.5777436774933085,0.3620766548128629,0.10250805338243404,0.3620766548128629,attitude,131.8965214601913,T5.5c_frozen
rough_seed_0,lm000_ls020_le080,0.15,0.26,0.59,0.0,0.2,0.8,rough_perlin,0,4.589410514869865,0.3666097881848127,0.10042908500523118,0.3666097881848127,attitude,135.29578628992004,T5.5c_frozen
