context_id,terrain,seed,context_friction_mu,context_height_std_m,context_height_relief_p95_p05_m,context_slope_rms,context_slope_q95,preference_name,preference_kind,w_motion,w_stability,w_energy,selected_beta_name,selected_beta_motion,selected_beta_stability,selected_beta_energy,selected_lambda_motion,selected_lambda_stability,selected_lambda_energy,selected_J_motion_s_per_m,selected_J_stability,selected_J_energy_j_per_m,regret_motion,regret_stability,regret_energy,tchebycheff_max_term,tchebycheff_aug_term,scalarization_score,pareto_count
rough_seed_13,rough_perlin,13,0.8,0.057342560135515086,0.17930769038200378,0.1402044779409948,0.2214621045737986,wm060_ws020_we020,grid,0.6,0.2,0.2,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,4.433116592732395,0.4857931035504681,147.4083075334975,0.07933641749090085,0.527836600435501,0.7091206495906697,0.14182412991813395,0.002949933004997747,0.1447740629231317,9
rough_seed_13,rough_perlin,13,0.8,0.057342560135515086,0.17930769038200378,0.1402044779409948,0.2214621045737986,wm060_ws000_we040,grid,0.6,0.0,0.4,lm020_ls060_le020,0.26,0.48,0.26,0.2,0.6,0.2,4.46049675924879,0.4904870473813614,147.21290249585252,0.37497020384834256,1.0,0.642538160020554,0.2570152640082216,0.0048199738631722715,0.2618352378713939,9
rough_seed_13,rough_perlin,13,0.8,0.057342560135515086,0.17930769038200378,0.1402044779409948,0.2214621045737986,wm040_ws060_we000,grid,0.4,0.6,0.0,lm040_ls060_le000,0.37,0.48,0.15,0.4,0.6,0.0,4.445525657692599,0.480545692682495,147.58274612036152,0.21332168223148967,0.0,0.7685590117254372,0.08532867289259588,0.0008532867289259588,0.08618195962152184,9
rough_seed_13,rough_perlin,13,0.8,0.057342560135515086,0.17930769038200378,0.1402044779409948,0.2214621045737986,wm040_ws040_we020,grid,0.4,0.4,0.2,lm040_ls060_le000,0.37,0.48,0.15,0.4,0.6,0.0,4.445525657692599,0.480545692682495,147.58274612036152,0.21332168223148967,0.0,0.7685590117254372,0.15371180234508744,0.002390404752376833,0.15610220709746428,9
rough_seed_13,rough_perlin,13,0.8,0.057342560135515086,0.17930769038200378,0.1402044779409948,0.2214621045737986,wm040_ws020_we040,grid,0.4,0.2,0.4,lm040_ls020_le040,0.36999999999999994,0.26,0.37,0.4,0.2,0.4,4.47408814587878,0.48926011833435273,146.88120631560952,0.5217214330224189,0.8765833144301184,0.5295157030376247,0.2118062812150499,0.0059581151731004115,0.21776439638815032,9
rough_seed_13,rough_perlin,13,0.8,0.057342560135515086,0.17930769038200378,0.1402044779409948,0.2214621045737986,wm040_ws000_we060,grid,0.4,0.0,0.6,lm060_ls000_le040,0.48,0.15,0.37,0.6,0.0,0.4,4.476859539407105,0.48836031307554406,146.28683867532902,0.5516451941425174,0.7860719821152907,0.32699033477310696,0.22065807765700698,0.0041685227852087114,0.2248266004422157,9
rough_seed_13,rough_perlin,13,0.8,0.057342560135515086,0.17930769038200378,0.1402044779409948,0.2214621045737986,wm020_ws080_we000,grid,0.2,0.8,0.0,lm040_ls060_le000,0.37,0.48,0.15,0.4,0.6,0.0,4.445525657692599,0.480545692682495,147.58274612036152,0.21332168223148967,0.0,0.7685590117254372,0.04266433644629794,0.0004266433644629794,0.04309097981076092,9
rough_seed_13,rough_perlin,13,0.8,0.057342560135515086,0.17930769038200378,0.1402044779409948,0.2214621045737986,wm020_ws060_we020,grid,0.2,0.6,0.2,lm040_ls060_le000,0.37,0.48,0.15,0.4,0.6,0.0,4.445525657692599,0.480545692682495,147.58274612036152,0.21332168223148967,0.0,0.7685590117254372,0.15371180234508744,0.001963761387913854,0.1556755637330013,9
rough_seed_13,rough_perlin,13,0.8,0.057342560135515086,0.17930769038200378,0.1402044779409948,0.2214621045737986,wm020_ws040_we040,grid,0.2,0.4,0.4,lm020_ls000_le080,0.26,0.15,0.59,0.2,0.0,0.8,4.518383985560771,0.48209695526695223,145.33615197172438,1.0,0.15604136774580057,0.0030524860355003367,0.2,0.002636375415125204,0.20263637541512522,9
rough_seed_13,rough_perlin,13,0.8,0.057342560135515086,0.17930769038200378,0.1402044779409948,0.2214621045737986,wm020_ws020_we060,grid,0.2,0.2,0.6,lm040_ls000_le060,0.37,0.15,0.48,0.4,0.0,0.6,4.487812692895135,0.48775200494741067,145.32719359313973,0.6699104441468061,0.7248823206898959,0.0,0.14497646413797918,0.002789585529673404,0.14776604966765258,9
rough_seed_13,rough_perlin,13,0.8,0.057342560135515086,0.17930769038200378,0.1402044779409948,0.2214621045737986,wm020_ws000_we080,grid,0.2,0.0,0.8,lm040_ls000_le060,0.37,0.15,0.48,0.4,0.0,0.6,4.487812692895135,0.48775200494741067,145.32719359313973,0.6699104441468061,0.7248823206898959,0.0,0.13398208882936122,0.0013398208882936123,0.13532190971765484,9
rough_seed_13,rough_perlin,13,0.8,0.057342560135515086,0.17930769038200378,0.1402044779409948,0.2214621045737986,wm000_ws100_we000,grid,0.0,1.0,0.0,lm040_ls060_le000,0.37,0.48,0.15,0.4,0.6,0.0,4.445525657692599,0.480545692682495,147.58274612036152,0.21332168223148967,0.0,0.7685590117254372,0.0,0.0,0.0,9
rough_seed_13,rough_perlin,13,0.8,0.057342560135515086,0.17930769038200378,0.1402044779409948,0.2214621045737986,wm000_ws080_we020,grid,0.0,0.8,0.2,lm020_ls000_le080,0.26,0.15,0.59,0.2,0.0,0.8,4.518383985560771,0.48209695526695223,145.33615197172438,1.0,0.15604136774580057,0.0030524860355003367,0.12483309419664046,0.0012544359140374054,0.12608753011067786,9
rough_seed_13,rough_perlin,13,0.8,0.057342560135515086,0.17930769038200378,0.1402044779409948,0.2214621045737986,wm000_ws060_we040,grid,0.0,0.6,0.4,lm020_ls000_le080,0.26,0.15,0.59,0.2,0.0,0.8,4.518383985560771,0.48209695526695223,145.33615197172438,1.0,0.15604136774580057,0.0030524860355003367,0.09362482064748034,0.0009484581506168048,0.09457327879809715,9
rough_seed_13,rough_perlin,13,0.8,0.057342560135515086,0.17930769038200378,0.1402044779409948,0.2214621045737986,wm000_ws040_we060,grid,0.0,0.4,0.6,lm020_ls000_le080,0.26,0.15,0.59,0.2,0.0,0.8,4.518383985560771,0.48209695526695223,145.33615197172438,1.0,0.15604136774580057,0.0030524860355003367,0.06241654709832023,0.0006424803871962043,0.06305902748551644,9
