packet_index,sim_time,schedule_offset,window,condition,command,expected_delta,leg,leg_index,phase,swing,shape,bump,target_z,actual_z,tracking_error,native_target_z,realized_relative_z,base_z,roll_deg,pitch_deg,yaw_deg,base_vz
211,59.02025,19.173322916030884,A2,A,0.045,0.0,FR,1,0.5,1,1.0,0.0,-0.20473324533225584,-0.20534341774418552,-0.000610172411929677,-0.20473324533225584,-0.000610172411929677,0.36587455292891524,-0.03775302308272447,-1.9917737093346648,-0.5334080671071462,-0.009366577242864568
211,59.02025,19.173322916030884,A2,A,0.045,0.0,RL,2,0.5,1,1.0,0.0,-0.204582351373624,-0.20706670187806664,-0.0024843505044426506,-0.204582351373624,-0.0024843505044426506,0.36587455292891524,-0.03775302308272447,-1.9917737093346648,-0.5334080671071462,-0.009366577242864568
211,59.02025,19.173322916030884,A2,A,0.045,0.0,RR,3,0.0,0,0.0,0.0,-0.3633845243181469,-0.3633845243181469,0.0,-0.3633845243181469,0.0,0.36587455292891524,-0.03775302308272447,-1.9917737093346648,-0.5334080671071462,-0.009366577242864568
212,59.043,19.264588117599487,A2,A,0.045,0.0,FL,0,0.0,0,0.0,0.0,-0.36477466173581646,-0.36477466173581646,0.0,-0.36477466173581646,0.0,0.36550437439549044,-0.09677245009366343,-1.6894578334456545,-0.4783904608461311,0.0475131344741913
212,59.043,19.264588117599487,A2,A,0.045,0.0,FR,1,0.6000000238418579,1,0.9215999633789023,0.0,-0.2144742365022872,-0.20235540904316762,0.012118827459119574,-0.2144742365022872,0.012118827459119574,0.36550437439549044,-0.09677245009366343,-1.6894578334456545,-0.4783904608461311,0.0475131344741913
212,59.043,19.264588117599487,A2,A,0.045,0.0,RL,2,0.6000000238418579,1,0.9215999633789023,0.0,-0.21438770788391154,-0.20081052369838004,0.013577184185531499,-0.21438770788391154,0.013577184185531499,0.36550437439549044,-0.09677245009366343,-1.6894578334456545,-0.4783904608461311,0.0475131344741913
212,59.043,19.264588117599487,A2,A,0.045,0.0,RR,3,0.0,0,0.0,0.0,-0.3641197557089722,-0.3641197557089722,0.0,-0.3641197557089722,0.0,0.36550437439549044,-0.09677245009366343,-1.6894578334456545,-0.4783904608461311,0.0475131344741913
213,59.06325,19.345412969589233,A2,A,0.045,0.0,FL,0,0.0,0,0.0,0.0,-0.36451442783852966,-0.36451442783852966,0.0,-0.36451442783852966,0.0,0.36659299656834016,-0.2265463611260849,-1.5184246703021578,-0.47058278330914516,-0.013448349115674245
213,59.06325,19.345412969589233,A2,A,0.045,0.0,FR,1,0.699999988079071,1,0.7056000320434564,0.0,-0.2454277467813057,-0.22457177420791002,0.020855972573395665,-0.2454277467813057,0.020855972573395665,0.36659299656834016,-0.2265463611260849,-1.5184246703021578,-0.47058278330914516,-0.013448349115674245
213,59.06325,19.345412969589233,A2,A,0.045,0.0,RL,2,0.699999988079071,1,0.7056000320434564,0.0,-0.2453873313390741,-0.22254765363021126,0.022839677708862832,-0.2453873313390741,0.022839677708862832,0.36659299656834016,-0.2265463611260849,-1.5184246703021578,-0.47058278330914516,-0.013448349115674245
213,59.06325,19.345412969589233,A2,A,0.045,0.0,RR,3,0.0,0,0.0,0.0,-0.364118458088683,-0.364118458088683,0.0,-0.364118458088683,0.0,0.36659299656834016,-0.2265463611260849,-1.5184246703021578,-0.47058278330914516,-0.013448349115674245
214,59.0835,19.42618703842163,A2,A,0.045,0.0,FL,0,0.0,0,0.0,0.0,-0.3650130948415792,-0.3650130948415792,0.0,-0.3650130948415792,0.0,0.3658517675805308,-0.2148747899451113,-1.3434870384172428,-0.4935309310970132,0.016306858567776396
214,59.0835,19.42618703842163,A2,A,0.045,0.0,FR,1,0.800000011920929,1,0.4095999633789063,0.0,-0.2889719863765712,-0.26283024596384746,0.026141740412723713,-0.2889719863765712,0.026141740412723713,0.3658517675805308,-0.2148747899451113,-1.3434870384172428,-0.4935309310970132,0.016306858567776396
214,59.0835,19.42618703842163,A2,A,0.045,0.0,RL,2,0.800000011920929,1,0.4095999633789063,0.0,-0.28895885256862225,-0.26150847726902254,0.027450375299599705,-0.28895885256862225,0.027450375299599705,0.3658517675805308,-0.2148747899451113,-1.3434870384172428,-0.4935309310970132,0.016306858567776396
214,59.0835,19.42618703842163,A2,A,0.045,0.0,RR,3,0.0,0,0.0,0.0,-0.3646915227078655,-0.3646915227078655,0.0,-0.3646915227078655,0.0,0.3658517675805308,-0.2148747899451113,-1.3434870384172428,-0.4935309310970132,0.016306858567776396
215,59.10375,19.507189989089966,A2,A,0.045,0.0,FL,0,0.0,0,0.0,0.0,-0.3652969608660615,-0.3652969608660615,0.0,-0.3652969608660615,0.0,0.36710254822229427,-0.4351991489047507,-1.3608465955643518,-0.5574652500510221,-0.009976427103816134
215,59.10375,19.507189989089966,A2,A,0.045,0.0,FR,1,0.8999999761581421,1,0.1296000549316448,0.0,-0.3306160331607737,-0.3106245808494325,0.019991452311341196,-0.3306160331607737,0.019991452311341196,0.36710254822229427,-0.4351991489047507,-1.3608465955643518,-0.5574652500510221,-0.009976427103816134
215,59.10375,19.507189989089966,A2,A,0.045,0.0,RL,2,0.8999999761581421,1,0.1296000549316448,0.0,-0.3306142465750602,-0.3105145213089618,0.020099725266098434,-0.3306142465750602,0.020099725266098434,0.36710254822229427,-0.4351991489047507,-1.3608465955643518,-0.5574652500510221,-0.009976427103816134
215,59.10375,19.507189989089966,A2,A,0.045,0.0,RR,3,0.0,0,0.0,0.0,-0.3650295950244404,-0.3650295950244404,0.0,-0.3650295950244404,0.0,0.36710254822229427,-0.4351991489047507,-1.3608465955643518,-0.5574652500510221,-0.009976427103816134
216,59.124,19.588081121444702,A2,A,0.045,0.0,FL,0,0.0,0,0.0,0.0,-0.36538489485332853,-0.36538489485332853,0.0,-0.36538489485332853,0.0,0.3656422664885015,-0.4480872040189314,-1.4751186331014476,-0.6618619702676382,-0.034066944006924546
216,59.124,19.588081121444702,A2,A,0.045,0.0,FR,1,0.0,0,0.0,0.0,-0.34345097611475245,-0.34345097611475245,0.0,-0.34345097611475245,0.0,0.3656422664885015,-0.4480872040189314,-1.4751186331014476,-0.6618619702676382,-0.034066944006924546
216,59.124,19.588081121444702,A2,A,0.045,0.0,RL,2,0.0,0,0.0,0.0,-0.34502328647314423,-0.34502328647314423,0.0,-0.34502328647314423,0.0,0.3656422664885015,-0.4480872040189314,-1.4751186331014476,-0.6618619702676382,-0.034066944006924546
216,59.124,19.588081121444702,A2,A,0.045,0.0,RR,3,0.0,0,0.0,0.0,-0.3647441415570112,-0.3647441415570112,0.0,-0.3647441415570112,0.0,0.3656422664885015,-0.4480872040189314,-1.4751186331014476,-0.6618619702676382,-0.034066944006924546
217,59.144,19.668796062469482,A2,A,0.045,0.0,FL,0,0.10000000149011612,1,0.12960000343322756,0.0,-0.3451402640255533,-0.3559813813630262,-0.010841117337472894,-0.3451402640255533,-0.010841117337472894,0.36518376916361833,-0.3653283563742604,-1.8216635190346977,-0.800986785724708,0.003617035613641845
217,59.144,19.668796062469482,A2,A,0.045,0.0,FR,1,0.0,0,0.0,0.0,-0.36510091607255235,-0.36510091607255235,0.0,-0.36510091607255235,0.0,0.36518376916361833,-0.3653283563742604,-1.8216635190346977,-0.800986785724708,0.003617035613641845
217,59.144,19.668796062469482,A2,A,0.045,0.0,RL,2,0.0,0,0.0,0.0,-0.3656639588329524,-0.3656639588329524,0.0,-0.3656639588329524,0.0,0.36518376916361833,-0.3653283563742604,-1.8216635190346977,-0.800986785724708,0.003617035613641845
217,59.144,19.668796062469482,A2,A,0.045,0.0,RR,3,0.10000000149011612,1,0.12960000343322756,0.0,-0.34453302212756143,-0.3554459046541998,-0.010912882526638357,-0.34453302212756143,-0.010912882526638357,0.36518376916361833,-0.3653283563742604,-1.8216635190346977,-0.800986785724708,0.003617035613641845
218,59.16425,19.749573945999146,A2,A,0.045,0.0,FL,0,0.20000000298023224,1,0.40960000915527345,0.0,-0.30116330350460185,-0.3191019636816203,-0.01793866017701845,-0.30116330350460185,-0.01793866017701845,0.3665956287902608,-0.2284186782743191,-1.977777240650207,-0.8310505398853826,0.04732721473987067
218,59.16425,19.749573945999146,A2,A,0.045,0.0,FR,1,0.0,0,0.0,0.0,-0.3661817401197387,-0.3661817401197387,0.0,-0.3661817401197387,0.0,0.3665956287902608,-0.2284186782743191,-1.977777240650207,-0.8310505398853826,0.04732721473987067
218,59.16425,19.749573945999146,A2,A,0.045,0.0,RL,2,0.0,0,0.0,0.0,-0.3645358894812281,-0.3645358894812281,0.0,-0.3645358894812281,0.0,0.3665956287902608,-0.2284186782743191,-1.977777240650207,-0.8310505398853826,0.04732721473987067
218,59.16425,19.749573945999146,A2,A,0.045,0.0,RR,3,0.20000000298023224,1,0.40960000915527345,0.0,-0.3006383984071918,-0.3205150344836783,-0.019876636076486487,-0.3006383984071918,-0.019876636076486487,0.3665956287902608,-0.2284186782743191,-1.977777240650207,-0.8310505398853826,0.04732721473987067
219,59.1845,19.830758094787598,A2,A,0.045,0.0,FL,0,0.30000001192092896,1,0.7056000320434566,0.0,-0.2541863292687352,-0.2720559083176731,-0.017869579048937934,-0.2541863292687352,-0.017869579048937934,0.3661334725475017,-0.3754931982599123,-2.0831333048134257,-0.8830590942709416,-0.0658523191818952
219,59.1845,19.830758094787598,A2,A,0.045,0.0,FR,1,0.0,0,0.0,0.0,-0.36490934507875644,-0.36490934507875644,0.0,-0.36490934507875644,0.0,0.3661334725475017,-0.3754931982599123,-2.0831333048134257,-0.8830590942709416,-0.0658523191818952
219,59.1845,19.830758094787598,A2,A,0.045,0.0,RL,2,0.0,0,0.0,0.0,-0.36400007389546835,-0.36400007389546835,0.0,-0.36400007389546835,0.0,0.3661334725475017,-0.3754931982599123,-2.0831333048134257,-0.8830590942709416,-0.0658523191818952
219,59.1845,19.830758094787598,A2,A,0.045,0.0,RR,3,0.30000001192092896,1,0.7056000320434566,0.0,-0.25376875035899926,-0.27328787307132035,-0.01951912271232109,-0.25376875035899926,-0.01951912271232109,0.3661334725475017,-0.3754931982599123,-2.0831333048134257,-0.8830590942709416,-0.0658523191818952
