representation,held_context,context_dim,model_input_dim,train_samples,ensemble_size,final_standardized_mse_mean,train_mae_J_motion,train_mae_J_stability,train_mae_J_energy,held_mae_J_motion,held_mae_J_stability,held_mae_J_energy,rho_J_motion,rho_J_stability,rho_J_energy,rho_Q,oracle_beta,selected_beta,baseline_beta,true_rank,exact,top3,top5,Q_excess,baseline_Q_excess,beats_baseline
semantic_plus_probe,rough_seed_10,81,84,672,3,0.0032684681160996356,0.004573928888935956,0.001127672878211504,0.37408195016828616,0.013711351022397199,0.0934582230799341,6.410993588983572,0.9259740259740258,-0.38831168831168833,-0.6428571428571428,0.45584415584415583,lm060_ls020_le020,lm000_ls080_le020,lm080_ls020_le000,12,0,0,0,0.2046972594498272,0.04660870274838702,0
semantic_plus_probe,rough_seed_8,81,84,672,3,0.003453469524780909,0.004763444390855626,0.0011972487659337584,0.3858087926703349,0.008746180967720158,0.020676193802238382,1.6533106269955502,0.9909090909090909,0.03636363636363636,0.6935064935064935,0.8818181818181818,lm080_ls020_le000,lm040_ls060_le000,lm080_ls020_le000,3,0,1,1,0.0023126016401487925,0.0,0
semantic_plus_probe,rough_seed_22,81,84,672,3,0.0031097826237479844,0.004323589905688009,0.0011434302281396538,0.3682379018080542,0.06623149963135345,0.007999550382640047,1.71272651466923,0.9974025974025975,-0.7610389610389611,0.464935064935065,0.5363636363636364,lm040_ls040_le020,lm040_ls060_le000,lm080_ls020_le000,11,0,0,0,0.2555140485713817,0.14102356059836776,0
semantic_plus_probe,rough_seed_20,81,84,672,3,0.003402833749229709,0.004700882373716383,0.0011546609269905892,0.37801593448230736,0.0853431346171794,0.054169278617464484,4.218716486825146,0.8831168831168831,0.5402597402597402,0.44415584415584414,-0.031168831168831172,lm000_ls060_le040,lm020_ls020_le060,lm080_ls020_le000,3,0,1,1,0.030935278976887054,0.14667944598463062,1
semantic_plus_probe,rough_seed_28,81,84,672,3,0.003319003308812777,0.00435915688168242,0.00121131477169738,0.3863710303676601,0.08042806863826177,0.00354150339385442,9.696049947607737,0.9805194805194805,-0.5324675324675324,0.3220779220779221,0.5532467532467533,lm000_ls100_le000,lm080_ls000_le020,lm080_ls020_le000,12,0,0,0,1.0895996770676017,0.2066409730589126,0
semantic_plus_probe,rough_seed_17,81,84,672,3,0.00325009529478848,0.004698222197915144,0.0011618062069604844,0.36200580530724114,0.047613976249338975,0.0821900820252454,8.991657527120363,0.9870129870129869,0.5181818181818182,0.8558441558441559,0.8077922077922077,lm100_ls000_le000,lm060_ls020_le020,lm080_ls020_le000,3,0,1,1,0.14204112922934917,0.19233300719603325,1
semantic_plus_prop_probe,rough_seed_13,87,90,672,3,0.0034643244774391255,0.004529704859190379,0.0010688091350348394,0.3679790357107988,0.19139224527507254,0.22226105396172743,7.935965664308604,0.9675324675324675,0.6298701298701298,-0.32727272727272727,0.16363636363636364,lm080_ls020_le000,lm000_ls100_le000,lm080_ls020_le000,8,0,0,0,0.03270896035207965,0.0,0
semantic_plus_prop_probe,rough_seed_7,87,90,672,3,0.0028112373935679593,0.003964880490640114,0.0011128595437146992,0.34509286348857376,0.1364273153280935,0.03386093144678778,0.6618513623431825,0.8857142857142857,-0.287012987012987,0.7376623376623377,0.40649350649350646,lm000_ls060_le040,lm000_ls060_le040,lm080_ls020_le000,1,1,1,1,0.0,0.11426225020779207,1
semantic_plus_prop_probe,rough_seed_15,87,90,672,3,0.0035305393394082785,0.00463350412102344,0.001167972323771255,0.3401548835447483,0.08727274913407676,0.10772317580403644,19.331589638830188,0.8272727272727272,0.02077922077922078,-0.3194805194805195,0.1077922077922078,lm060_ls040_le000,lm040_ls000_le060,lm080_ls020_le000,8,0,0,0,0.12127889777638276,0.0068616204234064615,0
semantic_plus_prop_probe,rough_seed_0,87,90,672,3,0.003079359419643879,0.004599747014917855,0.0011414703812837785,0.34763105514690473,0.19075386125471777,0.2211242698976083,14.736127975251216,0.9649350649350649,0.535064935064935,-0.2155844155844156,0.06493506493506493,lm100_ls000_le000,lm000_ls060_le040,lm080_ls020_le000,3,0,1,1,0.026947920889475147,0.1191408580715218,1
