decision_index,pair_index,context_id,group,terrain,seed,mission,primary_metric,constraint_1,constraint_1_budget,constraint_2,constraint_2_budget,selected_beta_name,alternative_beta_name,delta_cost_motion,delta_cost_stability,delta_cost_energy,feasible_choice_count,decision_weight,pair_weight
70,0,flat_train:flat:27102,flat_train,flat,27102,stable,cost_stability,decision_time_s,6.968000000000001,cost_energy,0.5449890221341465,motion,balanced,0.004773720675136928,0.00018181672607294093,-0.006751833998245083,2,0.16666666666666666,0.16666666666666666
72,0,flat_train:flat:27102,flat_train,flat,27102,stable,cost_stability,decision_time_s,7.142,cost_energy,0.5382371881359014,balanced,energy,0.003208560883512873,9.188497553959396e-05,-0.004609616660744442,2,0.16666666666666666,0.16666666666666666
73,0,flat_train:flat:27102,flat_train,flat,27102,stable,cost_stability,decision_time_s,7.142,cost_energy,0.5449890221341465,motion,balanced,0.004773720675136928,0.00018181672607294093,-0.006751833998245083,3,0.16666666666666666,0.08333333333333333
73,1,flat_train:flat:27102,flat_train,flat,27102,stable,cost_stability,decision_time_s,7.142,cost_energy,0.5449890221341465,motion,energy,0.0079822815586498,0.0002737017016125349,-0.011361450658989525,3,0.16666666666666666,0.08333333333333333
75,0,flat_train:flat:27102,flat_train,flat,27102,stable,cost_stability,decision_time_s,7.153999999999999,cost_energy,0.5336275714751569,stability,energy,-0.0021772732882536228,1.739549610344643e-05,0.003585388846721216,2,0.16666666666666666,0.16666666666666666
76,0,flat_train:flat:27102,flat_train,flat,27102,stable,cost_stability,decision_time_s,7.153999999999999,cost_energy,0.5382371881359014,balanced,stability,0.005385834171766496,7.448947943614753e-05,-0.008195005507465658,3,0.16666666666666666,0.08333333333333333
76,1,flat_train:flat:27102,flat_train,flat,27102,stable,cost_stability,decision_time_s,7.153999999999999,cost_energy,0.5382371881359014,balanced,energy,0.003208560883512873,9.188497553959396e-05,-0.004609616660744442,3,0.16666666666666666,0.08333333333333333
77,0,flat_train:flat:27102,flat_train,flat,27102,stable,cost_stability,decision_time_s,7.153999999999999,cost_energy,0.5449890221341465,motion,balanced,0.004773720675136928,0.00018181672607294093,-0.006751833998245083,4,0.16666666666666666,0.05555555555555555
77,1,flat_train:flat:27102,flat_train,flat,27102,stable,cost_stability,decision_time_s,7.153999999999999,cost_energy,0.5449890221341465,motion,stability,0.010159554846903424,0.00025630620550908846,-0.01494683950571074,4,0.16666666666666666,0.05555555555555555
77,2,flat_train:flat:27102,flat_train,flat,27102,stable,cost_stability,decision_time_s,7.153999999999999,cost_energy,0.5449890221341465,motion,energy,0.0079822815586498,0.0002737017016125349,-0.011361450658989525,4,0.16666666666666666,0.05555555555555555
83,0,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,6.968000000000001,cost_stability,0.011385505444421061,balanced,motion,-0.004773720675136928,-0.00018181672607294093,0.006751833998245083,2,0.1111111111111111,0.1111111111111111
